,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
80,151.0,PMI,LON,2017-05-16T00:00:00,2017-05-16T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
81,33.0,PMI,LON,2017-05-16T00:00:00,2017-05-16T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
82,52.0,PMI,LON,2017-05-16T00:00:00,2017-05-16T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
83,22.0,PMI,LON,2017-05-17T00:00:00,2017-05-17T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
84,229.0,PMI,LON,2017-05-17T00:00:00,2017-05-17T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
85,30.0,PMI,LON,2017-05-17T00:00:00,2017-05-17T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
86,27.0,PMI,LON,2017-05-17T00:00:00,2017-05-17T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
87,55.0,PMI,LON,2017-05-17T00:00:00,2017-05-17T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
88,45.0,PMI,LON,2017-05-18T00:00:00,2017-05-18T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
89,95.0,PMI,LON,2017-05-18T00:00:00,2017-05-18T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
90,18.0,PMI,LON,2017-05-18T00:00:00,2017-05-18T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
